PATH,LINE,CATEGORY
openstack@puppet-tripleo-manifests-profile-base-aide-installdb.pp,44,Hard-coded secret
openstack@puppet-tripleo-manifests-stunnel-service_proxy.pp,57,Hard-coded secret
puphpet@puppet-puphpet-manifests-nginx-params.pp,5,Hard-coded secret
puphpet@puppet-puphpet-manifests-nginx-params.pp,33,Use of weak cryptography algorithms
puppetlabs@puppetlabs-apache-manifests-mod-ssl.pp,3,Hard-coded secret
puppetlabs@puppetlabs-apache-manifests-mod-ssl.pp,9,Hard-coded secret
puppetlabs@puppetlabs-apache-manifests-mod-ssl.pp,9,Use of weak cryptography algorithms
puppetlabs@puppetlabs-apache-manifests-mod-ssl.pp,13,Hard-coded secret
puppetlabs@puppetlabs-apache-manifests-mod-ssl.pp,14,Hard-coded secret
puppetlabs@puppetlabs-apache-manifests-mod-ssl.pp,16,Hard-coded secret
puppetlabs@puppetlabs-apache-manifests-mod-ssl.pp,33,Hard-coded secret
puppetlabs@puppetlabs-apache-manifests-mod-ssl.pp,35,Hard-coded secret
puppetlabs@puppetlabs-apache-manifests-mod-ssl.pp,37,Hard-coded secret
puppetlabs@puppetlabs-apache-manifests-mod-ssl.pp,41,Hard-coded secret
puppetlabs@puppetlabs-apache-manifests-mod-ssl.pp,44,Hard-coded secret
puppetlabs@puppetlabs-apache-manifests-mod-ssl.pp,47,Hard-coded secret
puppetlabs@puppetlabs-apache-manifests-mod-ssl.pp,50,Hard-coded secret
puppetlabs@puppetlabs-apache-manifests-mod-ssl.pp,58,Hard-coded secret
purpleidea@puppet-gluster-manifests-simple.pp,8,Suspicious comment
purpleidea@puppet-gluster-manifests-simple.pp,22,Suspicious comment
purpleidea@puppet-gluster-manifests-simple.pp,26,Empty password
purpleidea@puppet-gluster-manifests-simple.pp,81,Suspicious comment
purpleidea@puppet-gluster-manifests-simple.pp,98,Empty password
purpleidea@puppet-gluster-manifests-simple.pp,145,Suspicious comment
quintel@boxen-modules-osx-manifests-recovery_message.pp,22,Hard-coded secret
quintel@boxen-modules-osx-manifests-recovery_message.pp,29,Hard-coded secret
quintel@boxen-modules-osx-manifests-recovery_message.pp,34,Hard-coded secret
quintel@boxen-modules-osx-manifests-recovery_message.pp,37,Hard-coded secret
quintel@boxen-modules-osx-manifests-recovery_message.pp,48,Hard-coded secret
quintel@boxen-modules-osx-manifests-recovery_message.pp,54,Hard-coded secret
quintel@boxen-modules-osx-manifests-recovery_message.pp,57,Hard-coded secret
quintel@boxen-modules-osx-manifests-recovery_message.pp,67,Hard-coded secret
redhat-openstack@puppet-galera-manifests-server.pp,98,Hard-coded secret
redhat-openstack@puppet-galera-manifests-server.pp,106,Unrestricted IP Address
voxpupuli@puppet-nginx-examples-server_ssl.pp,7,Hard-coded secret
voxpupuli@puppet-nginx-examples-server_ssl.pp,8,Hard-coded secret
voxpupuli@puppet-nginx-examples-server_ssl.pp,9,Hard-coded secret
voxpupuli@puppet-nginx-examples-server_ssl.pp,16,Hard-coded secret
voxpupuli@puppet-nginx-examples-server_ssl.pp,17,Hard-coded secret
voxpupuli@puppet-rabbitmq-examples-permissions-add.pp,1,Hard-coded secret
voxpupuli@puppet-rabbitmq-examples-permissions-add.pp,2,Hard-coded secret
voxpupuli@puppet-rabbitmq-examples-permissions-add.pp,5,Hard-coded secret
voxpupuli@puppet-rundeck-manifests-config-global-framework.pp,28,Use of HTTP without SSL/TLS
voxpupuli@puppet-rundeck-manifests-config-global-framework.pp,36,Hard-coded secret
wikimedia@mediawiki-vagrant-puppet-modules-ocg-manifests-init.pp,47,Hard-coded secret
wikimedia@mediawiki-vagrant-puppet-modules-ocg-manifests-init.pp,48,Hard-coded secret
