PATH,ERROR,LINE
openstack@fuel-library-deployment-puppet-osnailyfacter-manifests-ssh.pp,hardcoded-secret,39
openstack@fuel-library-deployment-puppet-osnailyfacter-manifests-ssh.pp,weak cryptography algorithms,35
openstack@fuel-library-deployment-puppet-osnailyfacter-manifests-ssh.pp,hardcoded-password,39
openstack@puppet-neutron-manifests-params.pp,hardcoded-secret,45
openstack@puppet-neutron-manifests-params.pp,hardcoded-secret,95
openstack@puppet-neutron-manifests-params.pp,hardcoded-username,45
openstack@puppet-neutron-manifests-params.pp,hardcoded-username,95
openstack@puppet-neutron-manifests-server-placement.pp,hardcoded-secret,71
openstack@puppet-neutron-manifests-server-placement.pp,hardcoded-secret,75
openstack@puppet-neutron-manifests-server-placement.pp,hardcoded-secret,76
openstack@puppet-neutron-manifests-server-placement.pp,use of http,77
openstack@puppet-neutron-manifests-server-placement.pp,hardcoded-username,71
openstack@puppet-neutron-manifests-server-placement.pp,hardcoded-username,75
openstack@puppet-neutron-manifests-server-placement.pp,hardcoded-username,76
openstack@puppet-openstack-integration-manifests-designate.pp,hardcoded-secret,11
openstack@puppet-openstack-integration-manifests-designate.pp,hardcoded-secret,16
openstack@puppet-openstack-integration-manifests-designate.pp,hardcoded-secret,39
openstack@puppet-openstack-integration-manifests-designate.pp,hardcoded-secret,45
openstack@puppet-openstack-integration-manifests-designate.pp,hardcoded-secret,46
openstack@puppet-openstack-integration-manifests-designate.pp,suspicious comment,37
openstack@puppet-openstack-integration-manifests-designate.pp,suspicious comment,61
openstack@puppet-openstack-integration-manifests-designate.pp,suspicious comment,100
openstack@puppet-openstack-integration-manifests-designate.pp,use of http,40
openstack@puppet-openstack-integration-manifests-designate.pp,use of http,41
openstack@puppet-openstack-integration-manifests-designate.pp,use of http,42
openstack@puppet-openstack-integration-manifests-designate.pp,use of http,55
openstack@puppet-openstack-integration-manifests-designate.pp,hardcoded-username,46
openstack@puppet-openstack-integration-manifests-designate.pp,hardcoded-password,11
openstack@puppet-openstack-integration-manifests-designate.pp,hardcoded-password,16
openstack@puppet-openstack-integration-manifests-designate.pp,hardcoded-password,39
openstack@puppet-openstack-integration-manifests-designate.pp,hardcoded-password,45
openstack@puppet-tripleo-manifests-profile-base-aide-installdb.pp,hardcoded-secret,36
openstack@puppet-tripleo-manifests-profile-base-aide-installdb.pp,hardcoded-secret,44
openstack@puppet-tripleo-manifests-profile-base-aide-installdb.pp,hardcoded-username,36
openstack@puppet-tripleo-manifests-profile-base-aide-installdb.pp,hardcoded-username,44
openstack@puppet-tripleo-manifests-stunnel-service_proxy.pp,hardcoded-secret,57
puphpet@puppet-puphpet-manifests-nginx-params.pp,hardcoded-secret,5
puphpet@puppet-puphpet-manifests-nginx-params.pp,weak cryptography algorithms,33
puphpet@puppet-puphpet-manifests-nginx-params.pp,hardcoded-username,5
puppetlabs@puppetlabs-apache-manifests-mod-ssl.pp,hardcoded-secret,3
puppetlabs@puppetlabs-apache-manifests-mod-ssl.pp,hardcoded-secret,9
puppetlabs@puppetlabs-apache-manifests-mod-ssl.pp,hardcoded-secret,13
puppetlabs@puppetlabs-apache-manifests-mod-ssl.pp,hardcoded-secret,14
puppetlabs@puppetlabs-apache-manifests-mod-ssl.pp,hardcoded-secret,16
puppetlabs@puppetlabs-apache-manifests-mod-ssl.pp,hardcoded-secret,33
puppetlabs@puppetlabs-apache-manifests-mod-ssl.pp,hardcoded-secret,35
puppetlabs@puppetlabs-apache-manifests-mod-ssl.pp,hardcoded-secret,37
puppetlabs@puppetlabs-apache-manifests-mod-ssl.pp,hardcoded-secret,41
puppetlabs@puppetlabs-apache-manifests-mod-ssl.pp,hardcoded-secret,44
puppetlabs@puppetlabs-apache-manifests-mod-ssl.pp,hardcoded-secret,47
puppetlabs@puppetlabs-apache-manifests-mod-ssl.pp,hardcoded-secret,50
puppetlabs@puppetlabs-apache-manifests-mod-ssl.pp,hardcoded-secret,58
puppetlabs@puppetlabs-apache-manifests-mod-ssl.pp,weak cryptography algorithms,9
puppetlabs@puppetlabs-apache-manifests-mod-ssl.pp,hardcoded-password,13
purpleidea@puppet-gluster-manifests-simple.pp,suspicious comment,8
purpleidea@puppet-gluster-manifests-simple.pp,suspicious comment,22
purpleidea@puppet-gluster-manifests-simple.pp,suspicious comment,81
purpleidea@puppet-gluster-manifests-simple.pp,suspicious comment,145
purpleidea@puppet-gluster-manifests-simple.pp,empty-password,26
purpleidea@puppet-gluster-manifests-simple.pp,empty-password,98
quintel@boxen-modules-osx-manifests-recovery_message.pp,hardcoded-secret,22
quintel@boxen-modules-osx-manifests-recovery_message.pp,hardcoded-secret,29
quintel@boxen-modules-osx-manifests-recovery_message.pp,hardcoded-secret,34
quintel@boxen-modules-osx-manifests-recovery_message.pp,hardcoded-secret,37
quintel@boxen-modules-osx-manifests-recovery_message.pp,hardcoded-secret,48
quintel@boxen-modules-osx-manifests-recovery_message.pp,hardcoded-secret,54
quintel@boxen-modules-osx-manifests-recovery_message.pp,hardcoded-secret,57
quintel@boxen-modules-osx-manifests-recovery_message.pp,hardcoded-secret,67
quintel@boxen-modules-osx-manifests-recovery_message.pp,hardcoded-username,22
quintel@boxen-modules-osx-manifests-recovery_message.pp,hardcoded-username,29
quintel@boxen-modules-osx-manifests-recovery_message.pp,hardcoded-username,48
quintel@boxen-modules-osx-manifests-recovery_message.pp,hardcoded-username,67
redhat-openstack@puppet-galera-manifests-server.pp,hardcoded-secret,98
redhat-openstack@puppet-galera-manifests-server.pp,improper ip address binding,106
redhat-openstack@puppet-galera-manifests-server.pp,hardcoded-username,98
voxpupuli@puppet-nginx-examples-server_ssl.pp,hardcoded-secret,7
voxpupuli@puppet-nginx-examples-server_ssl.pp,hardcoded-secret,8
voxpupuli@puppet-nginx-examples-server_ssl.pp,hardcoded-secret,9
voxpupuli@puppet-nginx-examples-server_ssl.pp,hardcoded-secret,16
voxpupuli@puppet-nginx-examples-server_ssl.pp,hardcoded-secret,17
voxpupuli@puppet-rabbitmq-examples-permissions-add.pp,hardcoded-secret,1
voxpupuli@puppet-rabbitmq-examples-permissions-add.pp,hardcoded-secret,2
voxpupuli@puppet-rabbitmq-examples-permissions-add.pp,hardcoded-secret,5
voxpupuli@puppet-rabbitmq-examples-permissions-add.pp,hardcoded-username,1
voxpupuli@puppet-rabbitmq-examples-permissions-add.pp,hardcoded-username,5
voxpupuli@puppet-rabbitmq-examples-permissions-add.pp,hardcoded-password,2
voxpupuli@puppet-rundeck-manifests-config-global-framework.pp,hardcoded-secret,36
voxpupuli@puppet-rundeck-manifests-config-global-framework.pp,use of http,28
voxpupuli@puppet-rundeck-manifests-config-global-framework.pp,hardcoded-username,36
wikimedia@mediawiki-vagrant-puppet-modules-ocg-manifests-init.pp,hardcoded-secret,47
wikimedia@mediawiki-vagrant-puppet-modules-ocg-manifests-init.pp,hardcoded-secret,48
