PATH,ERROR,LINE
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,hardcoded-secret,55
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,hardcoded-username,55
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,hardcoded-secret,48
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,hardcoded-password,48
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,hardcoded-secret,55
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,hardcoded-username,55
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,hardcoded-secret,48
bifrost-playbooks-roles-bifrost-keystone-install-defaults-main.yml,hardcoded-password,48
openstack-ansible-playbooks-os-designate-install.yml,hardcoded-secret,22
openstack-ansible-playbooks-os-designate-install.yml,hardcoded-username,22
openstack-ansible-ops-elk_metrics_6x-roles-elasticsearch-meta-main.yml,hardcoded-secret,38
openstack-ansible-ops-elk_metrics_6x-roles-elasticsearch-meta-main.yml,hardcoded-username,38
tripleo-quickstart-roles-libvirt-setup-overcloud-tasks-vars-libvirt_nodepool_vars.yml,hardcoded-secret,16
tripleo-quickstart-roles-libvirt-setup-overcloud-tasks-vars-libvirt_nodepool_vars.yml,hardcoded-password,16
openstack-ansible-playbooks-lxc-containers-destroy.yml,hardcoded-secret,22
openstack-ansible-playbooks-lxc-containers-destroy.yml,hardcoded-secret,33
openstack-ansible-playbooks-lxc-containers-destroy.yml,hardcoded-username,33
