PATH,LINE,CATEGORY,AGREEMENT
bifrost-playbooks-roles-bifrost-unprovision-node-dynamic-tasks-main.yml,0,none,3
browbeat-ansible-browbeat-roles-gnocchi-config-tasks-main.yml,11,Suspicious comment,2
browbeat-ansible-browbeat-roles-keystone-token-tasks-main.yml,0,none,2
browbeat-ansible-browbeat-roles-nova-db-tasks-main.yml,0,none,3
browbeat-ansible-check-roles-controller-tasks-main.yml,0,none,3
browbeat-ansible-gather-roles-rabbitmq-tasks-main.yml,0,none,3
browbeat-ansible-gather-roles-undercloud-tasks-main.yml,0,none,3
browbeat-ansible-install-roles-common-tasks-main.yml,0,none,2
browbeat-ansible-install-roles-epel-defaults-main.yml,0,none,2
browbeat-ansible-install-roles-fluentd-tasks-main.yml,0,none,1
browbeat-ansible-install-roles-grafana-dashboards-files-cloud_instance_count.yaml,0,none,3
browbeat-ansible-install-roles-grafana-dashboards-templates-partials-ironic_metrics.yaml,0,none,3
browbeat-ansible-install-roles-grafana-dashboards-templates-partials-processes.yaml,0,none,3
browbeat-ansible-install-roles-kibana-visualization-vars-keystone_controller_count_visualizations.yml,0,none,3
networking-ovn-migration-tripleo_environment-playbooks-ovn-migration.yml,0,none,2
openstack-ansible-inventory-env.d-blazar.yml,0,none,3
openstack-ansible-inventory-env.d-cinder.yml,0,none,3
openstack-ansible-inventory-env.d-designate.yml,0,none,3
openstack-ansible-inventory-env.d-neutron.yml,0,none,3
openstack-ansible-inventory-env.d-rsyslog.yml,0,none,3
openstack-ansible-inventory-group_vars-ceilometer_all.yml,0,none,2
openstack-ansible-inventory-group_vars-ceph-rgw.yml,0,none,3
openstack-ansible-inventory-group_vars-designate_all.yml,0,none,3
openstack-ansible-inventory-group_vars-trove_all.yml,0,none,3
openstack-ansible-inventory-group_vars-utility_all.yml,0,none,3
openstack-ansible-ops-elk_metrics_6x-roles-elastic_data_hosts-meta-main.yml,0,none,3
openstack-ansible-ops-elk_metrics_6x-roles-elastic_filebeat-tasks-main.yml,0,none,2
openstack-ansible-ops-elk_metrics_6x-roles-elastic_heartbeat-handlers-main.yml,0,none,3
openstack-ansible-ops-elk_metrics_6x-roles-elastic_journalbeat-vars-redhat.yml,0,none,3
openstack-ansible-ops-elk_metrics_6x-roles-elastic_kibana-meta-main.yml,0,none,3
openstack-ansible-ops-elk_metrics_6x-roles-elastic_logstash-tasks-logstash_arcsight.yml,0,none,3
openstack-ansible-ops-elk_metrics_6x-roles-elastic_rollup-defaults-main.yml,0,none,3
openstack-ansible-ops-elk_metrics_6x-roles-elasticsearch-meta-main.yml,0,none,2
openstack-ansible-ops-elk_metrics_6x-roles-go_install_1.10-tasks-main.yml,0,none,2
openstack-ansible-ops-elk_metrics_6x-tests-ansible-role-requirements.yml,0,none,2
openstack-ansible-ops-leap-upgrades-upgrade-utilities-mitaka-playbooks-deploy-config-changes-mitaka.yml,20,Admin by default,2
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,18,Unrestricted IP Address,2
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,24,Use of HTTP without SSL/TLS,3
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,28,Use of HTTP without SSL/TLS,3
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,32,Use of HTTP without SSL/TLS,3
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,53,Use of HTTP without SSL/TLS,2
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,54,Use of HTTP without SSL/TLS,2
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,57,Use of HTTP without SSL/TLS,3
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,60,Use of HTTP without SSL/TLS,2
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,68,Use of HTTP without SSL/TLS,2
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,69,Use of HTTP without SSL/TLS,2
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,72,Use of HTTP without SSL/TLS,3
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,75,Use of HTTP without SSL/TLS,3
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,83,Use of HTTP without SSL/TLS,2
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,84,Use of HTTP without SSL/TLS,2
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,87,Use of HTTP without SSL/TLS,3
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,90,Use of HTTP without SSL/TLS,3
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,96,Use of HTTP without SSL/TLS,2
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,97,Use of HTTP without SSL/TLS,2
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,98,Use of HTTP without SSL/TLS,2
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,102,Use of HTTP without SSL/TLS,3
openstack-ansible-ops-multi-node-aio-playbooks-group_vars-all.yml,105,Use of HTTP without SSL/TLS,3
openstack-ansible-ops-multi-node-aio-playbooks-host_vars-ceph1.yml,0,none,3
openstack-ansible-ops-multi-node-aio-playbooks-host_vars-compute2.yml,0,none,3
openstack-ansible-ops-pxelinux-provisioning-playbooks-deploy-dhcp.yml,0,none,2
openstack-ansible-playbooks-common-tasks-os-lxc-container-setup.yml,98,Suspicious comment,2
openstack-ansible-playbooks-common-tasks-os-lxc-container-setup.yml,121,Suspicious comment,3
openstack-ansible-playbooks-healthcheck-hosts.yml,20,Suspicious comment,2
openstack-ansible-playbooks-healthcheck-hosts.yml,23,Suspicious comment,2
openstack-ansible-playbooks-healthcheck-hosts.yml,53,No integrity check,3
openstack-ansible-playbooks-lxc-containers-destroy.yml,33,Admin by default,2
openstack-ansible-playbooks-os-designate-install.yml,22,Admin by default,2
openstack-ansible-playbooks-os-tempest-install.yml,19,Admin by default,2
openstack-ansible-playbooks-utility-install.yml,18,Admin by default,2
openstack-ansible-tests-roles-bootstrap-host-defaults-main.yml,0,none,2
openstack-ansible-tests-roles-bootstrap-host-tasks-check-requirements.yml,0,none,2
openstack-ansible-tests-roles-bootstrap-host-tasks-prepare_loopback_machines.yml,0,none,2
openstack-ansible-tests-roles-bootstrap-host-tasks-prepare_loopback_zfs.yml,0,none,2
puppet-openstack-integration-playbooks-prepare-node-unit.yaml,0,none,3
puppet-openstack-integration-playbooks-run-syntax-tests.yaml,0,none,3
tripleo-quickstart-playbooks-libvirt-teardown.yml,0,none,3
tripleo-quickstart-roles-environment-vars-main.yml,0,none,3
tripleo-quickstart-roles-libvirt-setup-meta-main.yml,0,none,3
tripleo-quickstart-roles-libvirt-setup-overcloud-tasks-vars-libvirt_nodepool_vars.yml,0,none,1
tripleo-quickstart-roles-libvirt-setup-undercloud-tasks-inject_repos.yml,0,none,2
tripleo-quickstart-roles-libvirt-setup-user-meta-main.yml,0,none,3
tripleo-quickstart-roles-parts-kvm-tasks-main.yml,0,none,3
tripleo-quickstart-roles-virtbmc-defaults-main.yml,0,none,3
windmill-playbooks-bootstrap.yaml,0,none,2
windmill-playbooks-zookeeper.yaml,0,none,3
windmill-playbooks-zuul-fingergw.yaml,0,none,3
