PATH,LINE,CATEGORY,AGREEMENT
duritong@puppet-shorewall-manifests-dnat_rule.pp,0,none,3
fuel-infra@puppet-manifests-modules-obs_server-manifests-folders.pp,0,none,3
hubspotdevops@puppet-nexus-manifests-params.pp,36,Unrestricted IP Address,3
mattheath@puppet-php-manifests-5_3_11.pp,0,none,3
mattheath@puppet-php-manifests-fpm-5_3_15.pp,0,none,3
mattheath@puppet-php-manifests-version.pp,0,none,3
mayflower@wasted-site-component-manifests-mongodb.pp,0,none,3
mikeedwards83@Glass.Mapper-Archived-Glass.Mapper.Umb.CastleWindsor-App_Start-GlassMapperUmb.cs.pp,0,none,3
norcams@himlar-profile-manifests-highavailability-loadbalancing-haproxy-list.pp,0,none,3
norcams@himlar-profile-manifests-storage-ceph-zonegroup.pp,0,none,3
openstack@fuel-library-deployment-puppet-cluster-manifests-conntrackd_ocf.pp,0,none,3
openstack@fuel-library-deployment-puppet-openstack_tasks-examples-heat-cfn_keystone.pp,0,none,3
openstack@fuel-library-deployment-puppet-openstack_tasks-manifests-ironic-db.pp,0,none,3
openstack@fuel-library-deployment-puppet-osnailyfacter-manifests-plugins-plugins_rsync.pp,0,none,3
openstack@fuel-library-deployment-puppet-osnailyfacter-manifests-ssh.pp,34,Use of weak cryptography algorithms,2
openstack@fuel-library-deployment-puppet-osnailyfacter-manifests-ssh.pp,35,Use of weak cryptography algorithms,3
openstack@fuel-library-deployment-puppet-tweaks-manifests-ubuntu_service_override.pp,0,none,3
openstack@fuel-octane-deployment-puppet-octane_tasks-modular-mysqldump_restore.pp,0,none,3
openstack@puppet-monasca-manifests-virtualenv-instance.pp,0,none,2
openstack@puppet-neutron-manifests-params.pp,0,none,3
openstack@puppet-neutron-manifests-server-placement.pp,0,none,2
openstack@puppet-openstack-integration-manifests-designate.pp,11,Hard-coded secret,3
openstack@puppet-openstack-integration-manifests-designate.pp,16,Hard-coded secret,2
openstack@puppet-openstack-integration-manifests-designate.pp,26,Hard-coded secret,2
openstack@puppet-openstack-integration-manifests-designate.pp,27,Hard-coded secret,3
openstack@puppet-openstack-integration-manifests-designate.pp,37,Suspicious comment,2
openstack@puppet-openstack-integration-manifests-designate.pp,39,Hard-coded secret,2
openstack@puppet-openstack-integration-manifests-designate.pp,40,Use of HTTP without SSL/TLS,1
openstack@puppet-openstack-integration-manifests-designate.pp,41,Use of HTTP without SSL/TLS,1
openstack@puppet-openstack-integration-manifests-designate.pp,42,Use of HTTP without SSL/TLS,1
openstack@puppet-openstack-integration-manifests-designate.pp,45,Hard-coded secret,2
openstack@puppet-openstack-integration-manifests-designate.pp,55,Use of HTTP without SSL/TLS,1
openstack@puppet-openstack-integration-manifests-designate.pp,100,Suspicious comment,2
openstack@puppet-tripleo-manifests-profile-base-aide-installdb.pp,36,Admin by default,2
openstack@puppet-tripleo-manifests-profile-base-aide-installdb.pp,44,Admin by default,2
openstack@puppet-tripleo-manifests-profile-base-manila-api.pp,0,none,3
openstack@puppet-tripleo-manifests-profile-base-manila-scheduler.pp,0,none,3
openstack@puppet-tripleo-manifests-profile-base-neutron-wrappers-dibbler_client.pp,0,none,3
openstack@puppet-tripleo-manifests-stunnel-service_proxy.pp,0,none,2
poetic@our-boxen-manifests-site.pp,0,none,2
poetic@our-boxen-modules-people-manifests-bobobhai.pp,0,none,2
puphpet@puppet-puphpet-manifests-nginx-params.pp,25,Use of weak cryptography algorithms,2
puphpet@puppet-puphpet-manifests-nginx-params.pp,36,Missing Default in Case Statement,2
puphpet@puppet-puphpet-manifests-nginx-params.pp,41,Missing Default in Case Statement,2
puppetlabs@pltraining-userprefs-examples-npp.pp,0,none,2
puppetlabs@puppetlabs-apache-manifests-mod-ssl.pp,68,Missing Default in Case Statement,2
puppetlabs@puppetlabs-mysql-manifests-server-config.pp,0,none,3
purpleidea@puppet-gluster-manifests-simple.pp,22,Suspicious comment,3
purpleidea@puppet-gluster-manifests-simple.pp,26,Empty password,2
purpleidea@puppet-gluster-manifests-simple.pp,81,Suspicious comment,2
purpleidea@puppet-gluster-manifests-simple.pp,145,Suspicious comment,2
quintel@boxen-modules-nodejs-manifests-v0_4.pp,0,none,3
quintel@boxen-modules-osx-manifests-recovery_message.pp,22,Admin by default,2
quintel@boxen-modules-osx-manifests-recovery_message.pp,29,Admin by default,2
quintel@boxen-modules-osx-manifests-recovery_message.pp,48,Admin by default,2
quintel@boxen-modules-osx-manifests-recovery_message.pp,67,Admin by default,2
redhat-openstack@puppet-galera-manifests-server.pp,98,Admin by default,2
redhat-openstack@puppet-galera-manifests-server.pp,99,Empty password,2
redhat-openstack@puppet-galera-manifests-server.pp,106,Unrestricted IP Address,3
thiagoarrais@gtk2hs-gtk-Graphics-UI-Gtk-Gdk-PixbufData.hs.pp,0,none,3
voxpupuli@puppet-nginx-examples-server_ssl.pp,0,none,3
voxpupuli@puppet-rabbitmq-examples-permissions-add.pp,2,Hard-coded secret,2
voxpupuli@puppet-rabbitmq-examples-server.pp,0,none,3
voxpupuli@puppet-rundeck-manifests-config-global-framework.pp,0,none,2
wesleytodd@YeoPress-app-templates-puppet-modules-mysql-manifests-ruby.pp,0,none,3
wikimedia@mediawiki-vagrant-puppet-modules-ocg-manifests-init.pp,0,none,3
wikimedia@mediawiki-vagrant-puppet-modules-role-manifests-notebook.pp,0,none,3
wikimedia@mediawiki-vagrant-puppet-modules-xhprofgui-manifests-init.pp,0,none,1
