PATH,LINE,CATEGORY
desirit_chef-bach-cookbooks-bcpc-hadoop-recipes-oozie.rb,142,Admin by default
desirit_chef-bach-cookbooks-bcpc-hadoop-recipes-oozie.rb,152,Admin by default
desirit_chef-bach-cookbooks-bcpc-hadoop-recipes-oozie.rb,155,Admin by default
guymatz_chef-cookbooks-hive-attributes-default.rb,3,Missing Default in Case Statement
guymatz_chef-cookbooks-hive-attributes-default.rb,11,Use of HTTP without SSL/TLS
guymatz_chef-cookbooks-mysql-attributes-client.rb,41,Use of HTTP without SSL/TLS
guymatz_chef-cookbooks-psql-resources-user.rb,20,Empty password
guymatz_chef-cookbooks-python-attributes-default.rb,36,Use of HTTP without SSL/TLS
havk64_chef-zero-playground-cookbooks-runit-recipes-default.rb,29,Missing Default in Case Statement
infochimps-labs_ironfan-pantry-cookbooks-iptables-recipes-default.rb,39,Missing Default in Case Statement
infochimps-labs_ironfan-pantry-cookbooks-zsh-recipes-default.rb,24,Missing Default in Case Statement
jonmthomson_cookbooks-mingw-recipes-default.rb,14,Hard-coded secret
kitchenplan_chef-applications-recipes-omnigraffle.rb,1,Missing Default in Case Statement
kitchenplan_chef-applications-recipes-omnigraffle.rb,15,No integrity check
kitchenplan_chef-applications-recipes-omnigraffle.rb,40,No integrity check
kitchenplan_chef-applications-recipes-omnigraffle.rb,65,No integrity check
kitchenware_master-chef-cookbooks-base-recipes-editor.rb,5,Admin by default
openstreetmap_chef-cookbooks-accounts-recipes-default.rb,35,Missing Default in Case Statement
openstreetmap_chef-cookbooks-civicrm-recipes-default.rb,81,No integrity check
openstreetmap_chef-cookbooks-civicrm-recipes-default.rb,90,No integrity check
openstreetmap_chef-cookbooks-civicrm-recipes-default.rb,162,Use of HTTP without SSL/TLS
pu239ppy_chef-bach-code-bcpc-recipes-mysql.rb,88,Admin by default
pu239ppy_chef-bach-code-bcpc-recipes-mysql.rb,96,Admin by default
pu239ppy_chef-bach-code-bcpc-recipes-mysql.rb,134,Admin by default
pu239ppy_chef-bach-code-bcpc-recipes-mysql.rb,146,Admin by default
pu239ppy_chef-bach-code-bcpc-recipes-mysql.rb,173,Admin by default
scmgalaxy_chef-training-programs-recipes-raviteja-chef-repo-E4.rb,3,No integrity check
thomasmeeus_chef-apache2-recipes-mod_php5.rb,20,Missing Default in Case Statement
thomasmeeus_chef-apache2-recipes-mod_php5.rb,64,Missing Default in Case Statement
