PATH,LINE,ERROR
cargomedia@puppet-packages-modules-backup-manifests-agent.pp,21,admin-by-default
cargomedia@puppet-packages-modules-backup-manifests-agent.pp,21,hardcoded-secret
cargomedia@puppet-packages-modules-backup-manifests-agent.pp,21,hardcoded-username
cargomedia@puppet-packages-modules-backup-manifests-agent.pp,26,admin-by-default
cargomedia@puppet-packages-modules-backup-manifests-agent.pp,26,hardcoded-secret
cargomedia@puppet-packages-modules-backup-manifests-agent.pp,26,hardcoded-username
cargomedia@puppet-packages-modules-backup-manifests-agent.pp,33,admin-by-default
cargomedia@puppet-packages-modules-backup-manifests-agent.pp,33,hardcoded-secret
cargomedia@puppet-packages-modules-backup-manifests-agent.pp,33,hardcoded-username
cargomedia@puppet-packages-modules-mysql-manifests-server-instance.pp,1,empty-password
cargomedia@puppet-packages-modules-mysql-manifests-server-instance.pp,1,hardcoded-password
cargomedia@puppet-packages-modules-mysql-manifests-server-instance.pp,1,hardcoded-secret
danofthewired@puppet-bitbucket-examples-bitbucket_mysql_java_install.pp,9,hardcoded-password
danofthewired@puppet-bitbucket-examples-bitbucket_mysql_java_install.pp,9,hardcoded-secret
danofthewired@puppet-bitbucket-examples-bitbucket_mysql_java_install.pp,13,hardcoded-secret
danofthewired@puppet-bitbucket-examples-bitbucket_mysql_java_install.pp,13,hardcoded-username
danofthewired@puppet-bitbucket-examples-bitbucket_mysql_java_install.pp,14,hardcoded-password
danofthewired@puppet-bitbucket-examples-bitbucket_mysql_java_install.pp,14,hardcoded-secret
hubspotdevops@puppet-nexus-manifests-params.pp,28,use of http
hubspotdevops@puppet-nexus-manifests-params.pp,29,hardcoded-secret
hubspotdevops@puppet-nexus-manifests-params.pp,29,hardcoded-username
hubspotdevops@puppet-nexus-manifests-params.pp,34,hardcoded-secret
hubspotdevops@puppet-nexus-manifests-params.pp,34,hardcoded-username
hubspotdevops@puppet-nexus-manifests-params.pp,36,improper ip address binding
hubspotdevops@puppet-nexus-manifests-params.pp,39,hardcoded-secret
hubspotdevops@puppet-nexus-manifests-params.pp,39,hardcoded-username
hubspotdevops@puppet-nexus-manifests-params.pp,40,use of http
mattheath@puppet-php-manifests-version.pp,122,suspicious comment
openstack@fuel-library-deployment-puppet-openstack_tasks-manifests-ironic-db.pp,9,admin-by-default
openstack@fuel-library-deployment-puppet-openstack_tasks-manifests-ironic-db.pp,9,hardcoded-secret
openstack@fuel-library-deployment-puppet-openstack_tasks-manifests-ironic-db.pp,9,hardcoded-username
openstack@fuel-library-deployment-puppet-openstack_tasks-manifests-ironic-db.pp,13,hardcoded-secret
openstack@fuel-library-deployment-puppet-openstack_tasks-manifests-ironic-db.pp,13,hardcoded-username
openstack@fuel-library-deployment-puppet-openstack_tasks-manifests-ironic-db.pp,15,hardcoded-password
openstack@fuel-library-deployment-puppet-openstack_tasks-manifests-ironic-db.pp,15,hardcoded-secret
openstack@fuel-library-deployment-puppet-openstack_tasks-manifests-ironic-db.pp,19,admin-by-default
openstack@fuel-library-deployment-puppet-openstack_tasks-manifests-ironic-db.pp,19,hardcoded-secret
openstack@fuel-library-deployment-puppet-openstack_tasks-manifests-ironic-db.pp,19,hardcoded-username
openstack@fuel-library-deployment-puppet-openstack_tasks-manifests-ironic-db.pp,20,hardcoded-password
openstack@fuel-library-deployment-puppet-openstack_tasks-manifests-ironic-db.pp,20,hardcoded-secret
openstack@fuel-library-deployment-puppet-osnailyfacter-manifests-ssh.pp,34,weak cryptography algorithms
openstack@fuel-library-deployment-puppet-osnailyfacter-manifests-ssh.pp,35,weak cryptography algorithms
openstack@fuel-library-deployment-puppet-osnailyfacter-manifests-ssh.pp,40,hardcoded-secret
openstack@fuel-library-deployment-puppet-osnailyfacter-manifests-ssh.pp,40,hardcoded-username
openstack@puppet-monasca-manifests-virtualenv-instance.pp,19,suspicious comment
openstack@puppet-monasca-manifests-virtualenv-instance.pp,42,suspicious comment
openstack@puppet-neutron-manifests-server-placement.pp,71,hardcoded-secret
openstack@puppet-neutron-manifests-server-placement.pp,71,hardcoded-username
openstack@puppet-neutron-manifests-server-placement.pp,87,hardcoded-secret
openstack@puppet-openstack-integration-manifests-designate.pp,11,hardcoded-password
openstack@puppet-openstack-integration-manifests-designate.pp,11,hardcoded-secret
openstack@puppet-openstack-integration-manifests-designate.pp,16,hardcoded-password
openstack@puppet-openstack-integration-manifests-designate.pp,16,hardcoded-secret
openstack@puppet-openstack-integration-manifests-designate.pp,37,suspicious comment
openstack@puppet-openstack-integration-manifests-designate.pp,39,hardcoded-password
openstack@puppet-openstack-integration-manifests-designate.pp,39,hardcoded-secret
openstack@puppet-openstack-integration-manifests-designate.pp,40,use of http
openstack@puppet-openstack-integration-manifests-designate.pp,41,use of http
openstack@puppet-openstack-integration-manifests-designate.pp,42,use of http
openstack@puppet-openstack-integration-manifests-designate.pp,45,hardcoded-password
openstack@puppet-openstack-integration-manifests-designate.pp,45,hardcoded-secret
openstack@puppet-openstack-integration-manifests-designate.pp,55,use of http
openstack@puppet-openstack-integration-manifests-designate.pp,58,hardcoded-secret
openstack@puppet-openstack-integration-manifests-designate.pp,58,hardcoded-username
openstack@puppet-openstack-integration-manifests-designate.pp,61,suspicious comment
openstack@puppet-openstack-integration-manifests-designate.pp,100,suspicious comment
openstack@puppet-tripleo-manifests-profile-base-aide-installdb.pp,36,admin-by-default
openstack@puppet-tripleo-manifests-profile-base-aide-installdb.pp,36,hardcoded-secret
openstack@puppet-tripleo-manifests-profile-base-aide-installdb.pp,36,hardcoded-username
openstack@puppet-tripleo-manifests-profile-base-aide-installdb.pp,44,admin-by-default
openstack@puppet-tripleo-manifests-profile-base-aide-installdb.pp,44,hardcoded-secret
openstack@puppet-tripleo-manifests-profile-base-aide-installdb.pp,44,hardcoded-username
openstack@puppet-tripleo-manifests-profile-base-neutron-wrappers-dibbler_client.pp,30,suspicious comment
openstack@puppet-tripleo-manifests-profile-base-neutron-wrappers-dibbler_client.pp,31,suspicious comment
puphpet@puppet-puphpet-manifests-nginx-params.pp,5,hardcoded-secret
puphpet@puppet-puphpet-manifests-nginx-params.pp,5,hardcoded-username
puphpet@puppet-puphpet-manifests-nginx-params.pp,25,weak cryptography algorithms
puphpet@puppet-puphpet-manifests-nginx-params.pp,36,missing default case statement
puphpet@puppet-puphpet-manifests-nginx-params.pp,41,missing default case statement
puppetlabs@puppetlabs-apache-manifests-mod-ssl.pp,9,weak cryptography algorithms
puppetlabs@puppetlabs-apache-manifests-mod-ssl.pp,68,missing default case statement
purpleidea@puppet-gluster-manifests-simple.pp,8,suspicious comment
purpleidea@puppet-gluster-manifests-simple.pp,22,suspicious comment
purpleidea@puppet-gluster-manifests-simple.pp,26,empty-password
purpleidea@puppet-gluster-manifests-simple.pp,26,hardcoded-password
purpleidea@puppet-gluster-manifests-simple.pp,26,hardcoded-secret
purpleidea@puppet-gluster-manifests-simple.pp,81,suspicious comment
purpleidea@puppet-gluster-manifests-simple.pp,145,suspicious comment
purpleidea@puppet-gluster-manifests-simple.pp,153,suspicious comment
quintel@boxen-modules-osx-manifests-recovery_message.pp,22,admin-by-default
quintel@boxen-modules-osx-manifests-recovery_message.pp,22,hardcoded-secret
quintel@boxen-modules-osx-manifests-recovery_message.pp,22,hardcoded-username
quintel@boxen-modules-osx-manifests-recovery_message.pp,29,admin-by-default
quintel@boxen-modules-osx-manifests-recovery_message.pp,29,hardcoded-secret
quintel@boxen-modules-osx-manifests-recovery_message.pp,29,hardcoded-username
quintel@boxen-modules-osx-manifests-recovery_message.pp,37,hardcoded-secret
quintel@boxen-modules-osx-manifests-recovery_message.pp,48,admin-by-default
quintel@boxen-modules-osx-manifests-recovery_message.pp,48,hardcoded-secret
quintel@boxen-modules-osx-manifests-recovery_message.pp,48,hardcoded-username
quintel@boxen-modules-osx-manifests-recovery_message.pp,57,hardcoded-secret
quintel@boxen-modules-osx-manifests-recovery_message.pp,67,admin-by-default
quintel@boxen-modules-osx-manifests-recovery_message.pp,67,hardcoded-secret
quintel@boxen-modules-osx-manifests-recovery_message.pp,67,hardcoded-username
redhat-openstack@puppet-galera-manifests-server.pp,47,suspicious comment
redhat-openstack@puppet-galera-manifests-server.pp,98,admin-by-default
redhat-openstack@puppet-galera-manifests-server.pp,98,hardcoded-secret
redhat-openstack@puppet-galera-manifests-server.pp,98,hardcoded-username
redhat-openstack@puppet-galera-manifests-server.pp,99,empty-password
redhat-openstack@puppet-galera-manifests-server.pp,99,hardcoded-password
redhat-openstack@puppet-galera-manifests-server.pp,99,hardcoded-secret
redhat-openstack@puppet-galera-manifests-server.pp,106,improper ip address binding
voxpupuli@puppet-nginx-examples-server_ssl.pp,5,hardcoded-secret
voxpupuli@puppet-nginx-examples-server_ssl.pp,5,hardcoded-username
voxpupuli@puppet-nginx-examples-server_ssl.pp,7,hardcoded-secret
voxpupuli@puppet-nginx-examples-server_ssl.pp,8,hardcoded-secret
voxpupuli@puppet-nginx-examples-server_ssl.pp,9,hardcoded-secret
voxpupuli@puppet-nginx-examples-server_ssl.pp,14,hardcoded-secret
voxpupuli@puppet-nginx-examples-server_ssl.pp,14,hardcoded-username
voxpupuli@puppet-nginx-examples-server_ssl.pp,16,hardcoded-secret
voxpupuli@puppet-nginx-examples-server_ssl.pp,17,hardcoded-secret
voxpupuli@puppet-nginx-examples-server_ssl.pp,22,hardcoded-secret
voxpupuli@puppet-nginx-examples-server_ssl.pp,22,hardcoded-username
voxpupuli@puppet-nginx-examples-server_ssl.pp,29,hardcoded-secret
voxpupuli@puppet-nginx-examples-server_ssl.pp,29,hardcoded-username
voxpupuli@puppet-rabbitmq-examples-permissions-add.pp,2,hardcoded-password
voxpupuli@puppet-rabbitmq-examples-permissions-add.pp,2,hardcoded-secret
voxpupuli@puppet-rabbitmq-examples-server.pp,3,hardcoded-secret
voxpupuli@puppet-rabbitmq-examples-server.pp,3,hardcoded-username
voxpupuli@puppet-rundeck-manifests-config-global-framework.pp,28,use of http
