rank,score,method,tech,smell,file_path,line,alert_id
55,1.000000,glitch,chef,Suspicious comment,aws_aws-parallelcluster-cookbook-cookbooks-aws-parallelcluster-slurm-recipes-install_slurm.rb,93,55d3b26a22abdf746faaa2c507970d471bf41cb5
56,1.000000,glitch,chef,Hard-coded secret,cookbooks_ic-volumes_ebs-cookbooks-mongodb-attributes-mongodb.rb,35,56d35d2079dd570fb989e21445840c7337a92998
57,1.000000,glitch,chef,Hard-coded secret,openstreetmap_chef-cookbooks-civicrm-recipes-default.rb,50,5854c384b7eb69b7a0bec78aff50063cafa69191
58,1.000000,glitch,chef,Use of weak cryptography algorithms,cookbooks_ic-jenkins-cookbooks-zabbix-recipes-database_mysql.rb,129,590fde98a5f959ad6e3adc0da3fbcd568aebd5cf
59,1.000000,glitch,chef,Hard-coded secret,DrRayWang_Chef-Base-cookbooks-bcpc-recipes-graphite.rb,153,5c9b9b0e54ffada40eea71982c98c7faae98a457
60,1.000000,glitch,chef,Hard-coded secret,Nikhil424_chef-repo-cookbooks-jdk-recipes-default.rb,15,60e28c677688afe51d9202be3bdeed6e2b7700ea
61,1.000000,glitch,chef,Unrestricted IP Address,cookbooks_ic-volumes_ebs-cookbooks-resque-attributes-default.rb,24,6155fd3c2030a9c1a68fec2a3de0e3d7ac400c50
62,1.000000,glitch,chef,Missing Default in Case Statement,Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,23,64a117e562f348834b59a4fa9b9e2f391864ccf7
63,1.000000,glitch,chef,Use of weak cryptography algorithms,cookbooks_ic-hadoop_cluster-cookbooks-zabbix-recipes-database_mysql.rb,125,65d5afa4d0bddd41b44c1c989620d4889895fb1f
64,1.000000,glitch,chef,Hard-coded secret,gwalbran_chef-cookbooks-imos_backup-attributes-restore.rb,10,6ab8b88b76ca6ef514415a84f4ba20a2504d5d7a
65,1.000000,glitch,chef,Use of HTTP without SSL/TLS,Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,20,6c2e825651269faf0500d57837da3b2fd09072ba
66,1.000000,glitch,chef,Missing Default in Case Statement,Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,12,6c2ee3c700f7e0afdab80ad2330fae346de7c7da
67,1.000000,glitch,chef,Hard-coded secret,cookbooks_ic-pig-cookbooks-zabbix-attributes-default.rb,52,70ad5f244d3ddd23e90f3134feabf88592705203
68,1.000000,glitch,chef,Use of HTTP without SSL/TLS,Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,14,7225ed8a47cb929fde0e70392ef859b8587af134
69,1.000000,glitch,chef,Suspicious comment,cookbooks_ic-volumes-cookbooks-strongswan-recipes-routing.rb,22,7251ec6dd908b76fa98c29b8e8ef32400c7b647a
70,1.000000,glitch,chef,Missing Default in Case Statement,danielladd_Chef-Testing-cookbooks-mysql-attributes-server_rhel.rb,1,7684ffa6f46072f11bbb2e4713cbb285bdd769ba
71,1.000000,glitch,chef,Hard-coded secret,aws_aws-parallelcluster-cookbook-cookbooks-aws-parallelcluster-slurm-recipes-install_slurm.rb,75,7731dadeba1da591623077ea0af8b5b78f44d475
72,1.000000,glitch,chef,Hard-coded secret,cookbooks_ic-volumes_ebs-cookbooks-graphite-attributes-default.rb,11,78a08ebe1d713da6bda704545151caa5902cec21
73,1.000000,glitch,chef,Use of HTTP without SSL/TLS,Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,30,78e83d1f52257a0cc91355964dd1328b633703a3
74,1.000000,glitch,chef,Missing Default in Case Statement,infochimps-labs_ironfan-pantry-cookbooks-zsh-recipes-default.rb,24,7d8f0325211648b94c10adb854a2ca0d31cbb408
75,1.000000,glitch,chef,Suspicious comment,binary-com_chef-third-party-cookbooks-datadog-recipes-openmetrics.rb,86,807880814ba77408334112cdf0d19a44699da12e
76,1.000000,glitch,chef,Suspicious comment,cookbooks_ic-nodejs-cookbooks-hbase-recipes-config_files.rb,49,84268970ce6911df9da7a3b5ffeda6e41eead0b3
77,1.000000,glitch,chef,Hard-coded secret,cookbooks_ic-pig-cookbooks-zabbix-attributes-default.rb,20,8e4705b30b7b2740eb5bdd576b663d9607fa453a
78,1.000000,glitch,chef,Hard-coded secret,cookbooks_ic-volumes_ebs-cookbooks-mongodb-attributes-mongodb.rb,7,8ff6be3029e317fae1343bcb1b142f57bf054e45
79,1.000000,glitch,chef,Missing Default in Case Statement,kitchenplan_chef-applications-recipes-omnigraffle.rb,1,93c32b3885629d20ddfe9a4ca638f394ec6c9e12
80,1.000000,glitch,chef,Unrestricted IP Address,cookbooks_ic-zabbix-cookbooks-zabbix-providers-host.rb,50,989f9f40ea1f1fdd49215c79ce3638f0870c1e65
81,1.000000,glitch,chef,Admin by default,DrRayWang_Chef-Base-cookbooks-bcpc-recipes-mysql.rb,126,9f053c12c3c382491f611ba20f80b981ff78c968
82,1.000000,glitch,chef,Missing Default in Case Statement,infochimps-labs_ironfan-pantry-cookbooks-iptables-recipes-default.rb,39,a31983eae0d74ed85e54a3f6b42876b293839eef
83,1.000000,glitch,chef,Missing Default in Case Statement,thomasmeeus_chef-apache2-recipes-mod_php5.rb,20,a46c2c895de2409937359b0ca9a2124f560e261e
84,1.000000,glitch,chef,Hard-coded secret,cookbooks_ic-volumes_ebs-cookbooks-graphite-attributes-default.rb,12,a71b416127e2aaa18e0f2d6cd7a8a106a0547eab
85,1.000000,glitch,chef,Hard-coded secret,chef-boneyard_qa-chef-server-cluster-attributes-default.rb,16,acf946b4ab26efaeabecc44d55b0f910184ae07b
86,1.000000,glitch,chef,Unrestricted IP Address,cookbooks_ic-volumes_ebs-cookbooks-graphite-attributes-default.rb,20,ae19d7e46754636bbe6693de79d1d232ad3e8d51
87,1.000000,glitch,chef,Hard-coded secret,openstreetmap_chef-cookbooks-civicrm-recipes-default.rb,120,b393e781837bb3e20b78e10d4c9253b84b3111a4
88,1.000000,glitch,chef,Hard-coded secret,cookbooks_ic-volumes_ebs-cookbooks-mongodb-attributes-mongodb.rb,34,b3c67c1712305769885ce9ce307a1613a9659e6d
89,1.000000,glitch,chef,Missing Default in Case Statement,havk64_chef-zero-playground-cookbooks-runit-recipes-default.rb,29,b8005d10dcb13eb86a30572cd03e8c6e87c603e7
90,1.000000,glitch,chef,Missing Default in Case Statement,TaxiOS_zabbix-recipes-server_source.rb,32,b91c11291cb360315f4b14272f8de75d7b63f2e7
91,1.000000,glitch,chef,Missing Default in Case Statement,cookbooks_ic-tuning-cookbooks-zabbix-libraries-zabbix_hosts_and_templates.rb,28,bb380096e622910e38bf4ce45d329ed8d07eb6f6
92,1.000000,glitch,chef,Hard-coded secret,openstreetmap_chef-cookbooks-civicrm-recipes-default.rb,145,c31787e9f66a1fb492095b24eea3f3a68e32a8a9
93,1.000000,glitch,chef,Hard-coded secret,desirit_chef-bach-cookbooks-bcpc-hadoop-recipes-oozie.rb,96,c37a9c46588b3cf70b51ef1e8df0090c45593235
94,1.000000,glitch,chef,Missing Default in Case Statement,danielladd_Chef-Testing-cookbooks-mysql-attributes-server_rhel.rb,10,c7a45d3cf1450865dc74e948c7a2ac8800895282
95,1.000000,glitch,chef,Hard-coded secret,chef-boneyard_qa-chef-server-cluster-attributes-default.rb,4,c839edd63cc96757e4be1ae6c0bb4746f478a501
96,1.000000,glitch,chef,Admin by default,DrRayWang_Chef-Base-cookbooks-bcpc-recipes-graphite.rb,174,ca246110a24b15b2d7e2da00803002e6cb4be81b
97,1.000000,glitch,chef,Missing Default in Case Statement,TaxiOS_zabbix-recipes-server_source.rb,57,e1b3553ed4bf893d2adc90f0856b6c5f8ad3a4ff
98,1.000000,glitch,chef,No integrity check,openstreetmap_chef-cookbooks-civicrm-recipes-default.rb,81,e5c7c5d42183901e5453a30e3be8f3069f9d3ecd
99,1.000000,glitch,chef,Missing Default in Case Statement,aws_aws-parallelcluster-cookbook-cookbooks-aws-parallelcluster-slurm-recipes-install_slurm.rb,117,e863561cae80524fd013cab0ac1b56895f8a6af9
100,1.000000,glitch,chef,No integrity check,kitchenplan_chef-applications-recipes-omnigraffle.rb,65,eaa8d666abc1d53a5a1844b5f62a2808e2651d9a
101,1.000000,glitch,chef,Hard-coded secret,havk64_chef-zero-playground-cookbooks-nginx-attributes-socketproxy.rb,1,ee054c651c26dee1c3385b4fd82e0ac25de1923f
102,1.000000,glitch,chef,Use of HTTP without SSL/TLS,kitchenplan_chef-applications-recipes-omnigraffle.rb,41,f2b10dcfa1634841d776de6a076b5fee17b8ced8
103,1.000000,glitch,chef,Hard-coded secret,cookbooks_ic-volumes_ebs-cookbooks-graphite-attributes-default.rb,10,f2b4432269d28d518fb1782c626e5a01658c6de8
104,1.000000,glitch,chef,Hard-coded secret,chef-boneyard_qa-chef-server-cluster-attributes-default.rb,3,f651e88192673a8ff343282c15cf27643d248965
105,1.000000,glitch,chef,Hard-coded secret,cookbooks_ic-pig-cookbooks-zabbix-attributes-default.rb,51,f77ec6a1916780bfc400605bca2d43758ec30cdd
106,1.000000,glitch,chef,Suspicious comment,cookbooks_ic-ganglia-cookbooks-hadoop_cluster-example-clusters-science.rb,10,f827934b92bc030604172f391e6ee793595fe57a
107,1.000000,glitch,chef,No integrity check,kitchenplan_chef-applications-recipes-omnigraffle.rb,15,fee7866b37d2ded26b3a5956a9818fcd0036c8e5
108,0.000000,glitch,chef,__no_alert__,cookbooks_ic-ganglia-cookbooks-hadoop_cluster-example-clusters-science.rb,54,zz_background_00048843f108ea74f1a1b4145f01d121627c3b01
109,0.000000,glitch,chef,__no_alert__,openstreetmap_chef-cookbooks-civicrm-recipes-default.rb,3,zz_background_0006744c251cf084bda351a37e0907d0d73ed798
110,0.000000,glitch,chef,__no_alert__,binary-com_chef-third-party-cookbooks-cron-attributes-default.rb,12,zz_background_000a92826fddbc549422c19d8b67fb126a391e1c
111,0.000000,glitch,chef,__no_alert__,chef-boneyard_qa-chef-server-cluster-attributes-default.rb,35,zz_background_003580678bed9863f5416942f5b83546d4fcf609
112,0.000000,glitch,chef,__no_alert__,thomasmeeus_chef-apache2-recipes-mod_php5.rb,25,zz_background_00385f7745452b6916ed0a2e3f6d5fd5ef656abb
113,0.000000,glitch,chef,__no_alert__,infochimps-labs_ironfan-pantry-cookbooks-windows-providers-batch.rb,28,zz_background_005e683ab67a5f385fc2d6630066a5c97a32b540
114,0.000000,glitch,chef,__no_alert__,thomasmeeus_chef-apache2-recipes-mod_php5.rb,68,zz_background_00a27b9244183cc4c294328fb846bf612d3e438d
115,0.000000,glitch,chef,__no_alert__,cookbooks_ic-ganglia-cookbooks-hadoop_cluster-example-clusters-science.rb,95,zz_background_00b220f90b816c5aab9d4863d7f94be5dd01c901
116,0.000000,glitch,chef,__no_alert__,DrRayWang_Chef-Base-cookbooks-bcpc-recipes-mysql.rb,93,zz_background_00d30ef62ece44ed58c858d7181d57b418c21519
117,0.000000,glitch,chef,__no_alert__,thomasmeeus_chef-apache2-recipes-mod_php5.rb,66,zz_background_00d3674b998a1afc816fd9de5560fd469459f1b7
118,0.000000,glitch,chef,__no_alert__,EEDARIT_opsworks-cookbooks-iis-resources-root.rb,14,zz_background_00f59e2ffc115a19edc001c603d2ca1bd7e097a0
119,0.000000,glitch,chef,__no_alert__,cookbooks_ic-cloud_utils-cookbooks-hadoop_cluster-recipes-default.rb,79,zz_background_01033def87492243d6cef11acf8f043e9f1f9eb8
120,0.000000,glitch,chef,__no_alert__,Nikhil424_chef-repo-cookbooks-yum-mysql-community-attributes-mysql57-community.rb,10,zz_background_012f6ca73a05112619415e94d47bff89fdc4ed9c
121,0.000000,glitch,chef,__no_alert__,pu239ppy_chef-bach-code-bcpc-recipes-mysql.rb,71,zz_background_01385cadb403dcc8d8624287e34e2c3ebf0d7bc0
122,0.000000,glitch,chef,__no_alert__,guymatz_chef-cookbooks-mysql-attributes-client.rb,36,zz_background_017cda79bbed1e0fd5d83ed4402918ca6b04b06d
123,0.000000,glitch,chef,__no_alert__,danielladd_Chef-Testing-cookbooks-mysql-attributes-server_rhel.rb,28,zz_background_018363978203b310dff3cbf7174514d4c8dd0aad
124,0.000000,glitch,chef,__no_alert__,cookbooks_ic-volumes_ebs-cookbooks-mongodb-attributes-mongodb.rb,81,zz_background_019f62b0397eb60b7ba8e1250df5707144db4c46
125,0.000000,glitch,chef,__no_alert__,infochimps-labs_ironfan-pantry-cookbooks-nodejs-recipes-install_from_binary.rb,74,zz_background_01a3115c6907e6fcb9c56768e29dd9d571fda3a4
126,0.000000,glitch,chef,__no_alert__,cookbooks_ic-hadoop_cluster-cookbooks-zabbix-recipes-database_mysql.rb,117,zz_background_01b2602cddae38b709d3936ce06424c6217e4f53
127,0.000000,glitch,chef,__no_alert__,cookbooks_ic-jenkins-cookbooks-zabbix-recipes-agent.rb,86,zz_background_01d56b0d4ebb27ad48da788cc09ecc711ed7f885
128,0.000000,glitch,chef,__no_alert__,cookbooks_ic-ganglia-cookbooks-hadoop_cluster-example-clusters-science.rb,24,zz_background_01e6e0baff1f706299dc3c573e129481dc788ea3
129,0.000000,glitch,chef,__no_alert__,cookbooks_ic-hadoop_cluster-roles-cassandra_client.rb,14,zz_background_01ec2387c3b465c0bbc15fc4c672ae340aa7f2b8
130,0.000000,glitch,chef,__no_alert__,cookbooks_ic-jenkins-cookbooks-zabbix-recipes-database_mysql.rb,43,zz_background_022648ba8dd95f65a478cd394ada3dcc9e831c6d
131,0.000000,glitch,chef,__no_alert__,cookbooks_ic-package_set-cookbooks-rvm-providers-global_gem.rb,22,zz_background_023b26073e8b5466a5d18f5a5e229e2a4e247f3b
132,0.000000,glitch,chef,__no_alert__,cookbooks_ic-jenkins-cookbooks-zabbix-recipes-database_mysql.rb,12,zz_background_026fd04a976fe774cdeed3b3a8cf210b6bd5408e
133,0.000000,glitch,chef,__no_alert__,infochimps-labs_ironfan-pantry-cookbooks-iptables-recipes-default.rb,32,zz_background_0291caea2259b1a2b414c44cd8470936dfcd4f9f
134,0.000000,glitch,chef,__no_alert__,cookbooks_ic-cloud_utils-cookbooks-hadoop_cluster-recipes-default.rb,97,zz_background_0297f753280c00d6635413a75d4c5e9df9904b92
135,0.000000,glitch,chef,__no_alert__,infochimps-labs_ironfan-pantry-cookbooks-windows-providers-batch.rb,15,zz_background_029b1cff2679828e81877678e02e877b922b5d2c
136,0.000000,glitch,chef,__no_alert__,cookbooks_ic-ganglia-cookbooks-hadoop_cluster-example-clusters-science.rb,60,zz_background_029ded84ed694586741317a352d9c52f8a2386d8
137,0.000000,glitch,chef,__no_alert__,cookbooks_ic-zabbix-cookbooks-zabbix-providers-host.rb,91,zz_background_02baa2969b4ac800b8bcf1b145c8e8c7469f8812
138,0.000000,glitch,chef,__no_alert__,TaxiOS_zabbix-recipes-server_source.rb,2,zz_background_02c6cf33b7138269267f90cd0b0cf423b1fee5e5
139,0.000000,glitch,chef,__no_alert__,Nikhil424_chef-repo-cookbooks-jdk-recipes-default.rb,16,zz_background_02c7df2ab99df6634db2ac8ae1fc187bd28ca727
140,0.000000,glitch,chef,__no_alert__,TaxiOS_zabbix-recipes-server_source.rb,79,zz_background_02cebd027b26ce934853bd73df909941608bbc73
141,0.000000,glitch,chef,__no_alert__,cookbooks_ic-zabbix-cookbooks-zabbix-providers-host.rb,98,zz_background_02f3de5ada8de2ba2a37ece5d635d3da631b0b19
142,0.000000,glitch,chef,__no_alert__,openstreetmap_chef-cookbooks-civicrm-recipes-default.rb,115,zz_background_03036882dcf703398a5245f6e4e0b4679ee7a662
143,0.000000,glitch,chef,__no_alert__,DrRayWang_Chef-Base-cookbooks-bcpc-recipes-graphite.rb,169,zz_background_031cf4698b0c07142cfd17351372f1752b7a5c27
144,0.000000,glitch,chef,__no_alert__,pu239ppy_chef-bach-code-bcpc-recipes-mysql.rb,7,zz_background_0325238f370ffc90d5d88c8b3fb94f68602f0b5a
145,0.000000,glitch,chef,__no_alert__,sous-chefs_nrpe-recipes-default.rb,17,zz_background_032c8a65ec51a053b38fba641c61b37a594a9d27
146,0.000000,glitch,chef,__no_alert__,openstreetmap_chef-cookbooks-accounts-recipes-default.rb,17,zz_background_032d3d673e0678d66f4797a1393ebcf83569e7e0
147,0.000000,glitch,chef,__no_alert__,infochimps-labs_ironfan-pantry-cookbooks-python-attributes-default.rb,17,zz_background_032de4872c75047ec20f785251282e852d6dd0be
148,0.000000,glitch,chef,__no_alert__,guymatz_chef-cookbooks-mysql-attributes-client.rb,24,zz_background_0331d506d16cb2d7df91f80190e6c3e30d24a3c8
149,0.000000,glitch,chef,__no_alert__,desirit_chef-bach-cookbooks-bcpc-hadoop-recipes-oozie.rb,123,zz_background_0336967df659f21163341d00e42eca1f865aadbf
150,0.000000,glitch,chef,__no_alert__,desirit_chef-bach-cookbooks-bcpc-hadoop-recipes-oozie.rb,97,zz_background_033ad449d470e6d21c3dceb4c9577a4d5a00a093
151,0.000000,glitch,chef,__no_alert__,cookbooks_ic-jenkins-cookbooks-zabbix-recipes-agent.rb,60,zz_background_0341602344a21693d10850dc6e83409ddb110815
152,0.000000,glitch,chef,__no_alert__,DrRayWang_Chef-Base-cookbooks-bcpc-recipes-graphite.rb,156,zz_background_0348e169a4f360ade0d9fbbcea1b27a958027bdf
153,0.000000,glitch,chef,__no_alert__,pu239ppy_chef-bach-code-bcpc-recipes-mysql.rb,15,zz_background_034b34a65237081c37e34e67e659ec41872e1772
154,0.000000,glitch,chef,__no_alert__,sous-chefs_php-recipes-package.rb,20,zz_background_037272d8964a782f82a0641b61e20e891c23fc5c
155,0.000000,glitch,chef,__no_alert__,cookbooks_ic-volumes-cookbooks-silverware-libraries-dump_aspects.rb,65,zz_background_037a4e22ede00141e5456d86318b83493ad5414c
156,0.000000,glitch,chef,__no_alert__,TaxiOS_zabbix-recipes-server_source.rb,6,zz_background_0398fa9a37d4bcf211ebed0ebc6e44edea6f6604
157,0.000000,glitch,chef,__no_alert__,cookbooks_ic-hadoop_cluster-cookbooks-zabbix-recipes-database_mysql.rb,58,zz_background_03b05ae1a15627d5e4d866287401e0029dba88c2
158,0.000000,glitch,chef,__no_alert__,EEDARIT_opsworks-cookbooks-windows-providers-feature_powershell.rb,17,zz_background_03ebab04e376c3c82f63081950f05e1ecd5b4fc9
